sentiment,text
neutral,"MTS appoints heads of Karnataka, UP (West) circles"
neutral,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent ."
neutral,New Novator products are supposed to be exported .
neutral,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let ."
neutral,"Finnish W+Ærtsil+Æ that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk , in Russia ."
neutral,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .
neutral,Reliance Infrastructure appoints M S Mehta as CEO
neutral,The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .
neutral,Pulses futures remain steady in thin trade
neutral,"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide ."
neutral,"April 14, 2014: Mecklai Financial report on rupee"
neutral,Europe needs 17 new large paper machines .
neutral,"Edelweiss says fiscal deficit, asset strain big worry for markets"
neutral,"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp ."
neutral,"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today ."
neutral,"Sun Pharma-Ranbaxy deal increases optimism of more all-stock deals, but risks linger"
neutral,The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .
neutral,"Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. ."
neutral,5 things to know about Apple stock split
neutral,Nihilent Technologies considering IPO in 12-18 months
neutral,Rajesh Exports redeems $150-mn foreign bonds
neutral,Lodha Group relaunches $350 million overseas bond sale plan
neutral,"Market seeing patience, if not conviction: Prakash Diwan"
neutral,F&O Tracker: Call bunching at 7500 on Nifty shows resistance
neutral,The total investment of the project will be approximately EUR 36m .
neutral,"Sterling takes pause from election-inspired gains, focus on data, BoE"
neutral,"Prestige Estates Rs 1,200cr IPO subscribed 1.75 times till 2pm"
neutral,Bharti Airtel to raise about $415 million through the sale of shares of tower unit Bharti Infratel
neutral,McAfee announces Anand Prahlad's appointment as head of India operations
neutral,"Just Dial plans to raise Rs 1,000 crore as e-commerce marketplace rolls out"
neutral,"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail ."
neutral,( The acquisition sum has not been disclosed . )
neutral,"Reliance Communications to raise Rs 4,300 crore from investors, promoters"
neutral,No stock limits on commodities in regulated warehouses: FMC
neutral,5 outperformers in today's lacklustre market
neutral,Registration is required .
neutral,CIL workers that struck out on IPO may get chance to buy stake
neutral,STUK today is a full service house expert in radiation and nuclear safety issues .
neutral,Wonderla Holidays to raise up to Rs 190 crore via IPO
neutral,"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy ."
neutral,What can be expected from ITC Q3 results?
neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .
neutral,"Amazon has sold over 100 million devices with its Alexa digital assistant, according to The Verge. The company is cautious about releasing hardware sales figures and did not disclose holiday numbers for the Echo Dot. Over 150 products feature Alexa, and more than 28,000 smart home"
neutral,UP mills may have to wait for central subsidy benefits
neutral,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .
neutral,"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year ."
neutral,Manappuram Finance launches another public issue
neutral,"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares ."
neutral,IOC reports Rs 961-crore net loss in December quarter
neutral,Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .
neutral,Maintaining a neutral stance on the entire aviation space: Mayuresh Joshi
neutral,"Markets overbought, hence there could be momentum loss: Mitesh Thacker, miteshthacker.com"
neutral,How will Shell-BG deal impact global energy market
neutral,"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat ."
neutral,"First India bond ETF, bond index to launch in London"
neutral,GO short on midcap stocks: Ashwani Gujral
neutral,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros ."
neutral," Mastercard, a U.S. payments card company listed on NYSE as MA, is still determined to apply for a bankcard clearing license in China despite voluntarily withdrawing an application in 2018. The company aims to present another application soon, as American Express became the first U.S. card network to gain direct access"
neutral,"Sebi-Sahara case: Subrata Roy, others summoned tomorrow"
neutral,"Pre-market: Nifty likely to open flat; may retest 6,500 levels"
neutral,"Look out for opportunities in midcap companies: Tushar Pradhan, HSBC AMC"
neutral,TA Associates eyes Motilal Oswal's 12 per cent stake in AU Financiers
neutral,"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability ."
neutral,The duration of the lay-offs per employee will vary from one to six weeks .
neutral,Otherwise the situation is under control .
neutral,The order is included in Metso 's fourth quarter 2007 order backlog .
neutral,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .
neutral,"BAWAG - Is to issue a benchmark , covered deal ."
neutral,Sebi board to meet on Thursday; slew of reform measures on agenda
neutral,The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR .
neutral,The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .
neutral,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) ."
neutral,"Dollar supported by ECB talk, Japan election speculation"
neutral,Kotak AMC acquires domestic schemes of PineBridge MF
neutral,"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 ."
neutral,"Brokers' call: SpiceJet, Titan, Eicher, Amara Raja"
neutral,A few employees would remain at the Oulu plant in support functions for other group units .
neutral,Sugar settles steady on little doing
neutral,"Inox Wind debuts at Rs 400, a premium of 23% on NSE"
neutral,Edelweiss Financial Services September-qtr Net jumps 72 pc to Rs 79 crore
neutral,"Insider trading on SEBI Chief, UK Sinha's radar"
neutral,Press release 3 September 2009 Ruukki continues to be listed in two Dow Jones Sustainability Indexes : DJSI World and DJSI STOXX .
neutral,"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent ."
neutral,Sebi seeks clarification from 3 firms on IPO plans
neutral,Easier Sebi listing norms aim at encouraging startup industry to tap institutional trading platform
neutral,BSE and NSE announce trading holiday on April 24
neutral,United Spirits appoints Anand Kripalu as CEO
neutral,"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla - s shares and voting rights ."
neutral,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .
neutral,Tata Group eyes $350 billion market cap by 2025
neutral,Retail investors should assign 60% weightage to large cap stocks in their portfolio: Experts
neutral,Glaston also has efficiency measures in all other units .
neutral,"FDI, discom policies show reform momentum intact: Fitch"
neutral,"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment ."
neutral,The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .
neutral,"Difficult for markets to scale newer highs in current scenario: Dipan Mehta, Member BSE & NSE"
neutral,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share ."
neutral,"Immediate target is around 3400 in SBI: Prasad Kushe, Technical Analyst"
neutral,Sebi allows 100 alternative funds to operate in India
neutral,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 ."
neutral,NSE issues guidance for companies to make right disclosures
neutral,"Gold steady near $1,160; US dollar, data in focus"
neutral,The total capacity of the factory will be approximately 100 engines a year .
neutral,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .
neutral,Bajaj Auto Q2 net at Rs 591 crore
neutral,Sebi notifies norms for research analysts
neutral,Tirupati gold set to be locked safely in PSBs
neutral,Markets can correct between 8300-8400 range: Ashwani Gujral
neutral,The value of the three-year contract is estimated at EUR40m .
neutral,All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .
neutral,"Ultratech Cement: High costs mar show, but future prospects bright"
neutral,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards ."
neutral,"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services ."
neutral,Century Textiles posts Rs 1.58 crore profit in Q3
neutral,Near term outlook remains muted for cement space: Amit Khurana
neutral,Securities Appellate Tribunal's Dalmia ruling may trigger more buyback offers
neutral,The Finnish company has also reached arrangements regarding the working hours and annual holidays .
neutral,"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ."
neutral,"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations ."
neutral,Patni founders rule out stake sale plans at AGM
neutral,"Yuan flat, central bank signals stability with steady midpoint"
neutral,HT Media Q3 net profit at Rs 67.02 crore
neutral,Target for Nifty Future seen at 9180-9200: Ashish Chaturmohta
neutral,"Brokerages' views on Pidilite, Bosch, Sun Pharma, Nestle India, UPL"
neutral,RBI tightens provisioning norms for unhedged forex exposure
neutral,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment ."
neutral,Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .
neutral,`` It wo n't happen overnight .
neutral,"In Finland , export industry forms a large clientele for the packaging industry ."
neutral,Suzlon board approves cashless restructuring of FCCBs
neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
neutral,SEBI lets IDR holders convert 25% into equity
neutral,The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .
neutral,Deutsche Bank uses UTIs deemed FII status to buy bonds
neutral,City Union Bank to raise up to Rs 350 cr from QIP
neutral,The writing and publication of Lemmink+Æinen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .
neutral,"In 2007 , almost two thirds of Orion 's net sales came from these drugs ."
neutral,Sebi to soon notify norms to regulate research analysts
neutral,"The store is located in Poznan in a shopping center named Pestka , the company added ."
neutral,"Upside is limited in textile space: Ambareesh Baliga, Karvy"
neutral,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .
neutral,"Nippon, Reliance Group launch India funds for Japan investors"
neutral,Corporate earnings likely to remain subdued in Q2: Crisil
neutral,Sri Lankan rupee forwards steady as central bank prevents fall
neutral,Neste Oil will offer outplacement services to the 111 employees to be reduced .
neutral,"Known parties manipulated trades on MCX, says PwC audit"
neutral,"IIFCL too boards infra bond wagon, to raise Rs 1,200 cr"
neutral,Australia shares seen steady ahead of emergency summit
neutral,"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles ."
neutral,Ashwani Gujral's top picks: Good time to look at beaten-down mid-caps
neutral,More than 50% NSE-listed firms yet to hire women directors
neutral,Networkplays CEO Ampreet Singh quits
neutral,"Chart Check from GEPL Capital for Wednesday, March 07: MMTC, DCB"
neutral,Firstsource: Should you invest at the current levels?
neutral,"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland ."
neutral,Neyveli Corp: Tamil Nadu government offer referred to Sebi
neutral,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .
neutral,Arun Gupta appointed CMD of Shipping Corporation of India
neutral,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
neutral,Airtel hires IT expert Manish Prakash to head its enterprise unit
